movieId,title,genres,Year
1,ToyStory,Adventure,1995
2,Jumanji,Adventure,1995
3,GrumpierOldMen,Comedy,1995
4,WaitingtoExhale,Comedy,1995
5,FatheroftheBridePartII,Comedy,1995
6,Heat,Action,1995
7,Sabrina,Comedy,1995
8,TomandHuck,Adventure,1995
9,SuddenDeath,Action,1995
10,GoldenEye,Action,1995
11,"AmericanPresident,The",Comedy,1995
12,Dracula:DeadandLovingIt,Comedy,1995
13,Balto,Adventure,1995
14,Nixon,Drama,1995
15,CutthroatIsland,Action,1995
16,Casino,Crime,1995
17,SenseandSensibility,Drama,1995
18,FourRooms,Comedy,1995
19,AceVentura:WhenNatureCalls,Comedy,1995
20,MoneyTrain,Action,1995
21,GetShorty,Comedy,1995
22,Copycat,Crime,1995
23,Assassins,Action,1995
24,Powder,Drama,1995
25,LeavingLasVegas,Drama,1995
26,Othello,Drama,1995
27,NowandThen,Children,1995
28,Persuasion,Drama,1995
29,"CityofLostChildren,The(Citédesenfantsperdus,La)",Adventure,1995
30,ShanghaiTriad(Yaoayaoyaodaowaipoqiao),Crime,1995
31,DangerousMinds,Drama,1995
32,TwelveMonkeys(a.k.a.12Monkeys),Mystery,1995
33,WingsofCourage,Adventure,1995
34,Babe,Children,1995
35,Carrington,Drama,1995
36,DeadManWalking,Crime,1995
37,AcrosstheSeaofTime,Documentary,1995
38,ItTakesTwo,Children,1995
39,Clueless,Comedy,1995
40,"Cry,theBelovedCountry",Drama,1995
41,RichardIII,Drama,1995
42,DeadPresidents,Action,1995
43,Restoration,Drama,1995
44,MortalKombat,Action,1995
45,ToDieFor,Comedy,1995
46,HowtoMakeanAmericanQuilt,Drama,1995
47,Seven(a.k.a.Se7en),Mystery,1995
48,Pocahontas,Animation,1995
49,WhenNightIsFalling,Drama,1995
50,"UsualSuspects,The",Crime,1995
51,GuardianAngel,Action,1994
52,MightyAphrodite,Comedy,1995
53,Lamerica,Adventure,1994
54,"BigGreen,The",Children,1995
55,Georgia,Drama,1995
56,KidsoftheRoundTable,Adventure,1995
57,HomefortheHolidays,Drama,1995
58,"Postman,The(Postino,Il)",Comedy,1994
59,"Confessional,The(Confessionnal,Le)",Drama,1995
60,"IndianintheCupboard,The",Adventure,1995
61,EyeforanEye,Drama,1996
62,Mr.Holland'sOpus,Drama,1995
63,Don'tBeaMenacetoSouthCentralWhileDrinkingYourJuiceintheHood,Comedy,1996
64,TwoifbySea,Comedy,1996
65,Bio-Dome,Comedy,1996
66,LawnmowerMan2:BeyondCyberspace,Action,1996
67,TwoBits,Drama,1995
68,FrenchTwist(Gazonmaudit),Comedy,1995
69,Friday,Comedy,1995
70,FromDuskTillDawn,Action,1996
71,FairGame,Action,1995
72,KickingandScreaming,Comedy,1995
73,"Misérables,Les",Drama,1995
74,BedofRoses,Drama,1996
75,BigBully,Comedy,1996
76,Screamers,Action,1995
77,NicoIcon,Documentary,1995
78,"CrossingGuard,The",Action,1995
79,"Juror,The",Drama,1996
80,"WhiteBalloon,The(Badkonakesefid)",Children,1995
81,ThingstoDoinDenverWhenYou'reDead,Crime,1995
82,Antonia'sLine(Antonia),Comedy,1995
83,OnceUponaTime...WhenWeWereColored,Drama,1995
84,LastSummerintheHamptons,Comedy,1995
85,AngelsandInsects,Drama,1995
86,WhiteSquall,Action,1996
87,DunstonChecksIn,Children,1996
88,BlackSheep,Comedy,1996
89,NickofTime,Action,1995
90,TheJourneyofAugustKing,Drama,1995
92,MaryReilly,Drama,1996
93,VampireinBrooklyn,Comedy,1995
94,BeautifulGirls,Comedy,1996
95,BrokenArrow,Action,1996
96,IntheBleakMidwinter,Comedy,1995
97,"Hate(Haine,La)",Crime,1995
98,Shopping,Action,1994
99,HeidiFleiss:HollywoodMadam,Documentary,1995
100,CityHall,Drama,1996
101,BottleRocket,Adventure,1996
102,Mr.Wrong,Comedy,1996
103,Unforgettable,Mystery,1996
104,HappyGilmore,Comedy,1996
105,"BridgesofMadisonCounty,The",Drama,1995
106,NobodyLovesMe(Keinerliebtmich),Comedy,1994
107,MuppetTreasureIsland,Adventure,1996
108,Catwalk,Documentary,1996
109,HeadlessBodyinToplessBar,Comedy,1995
110,Braveheart,Action,1995
111,TaxiDriver,Crime,1976
112,RumbleintheBronx(Hontfaankui),Action,1995
113,BeforeandAfter,Drama,1996
114,Margaret'sMuseum,Drama,1995
115,"HappinessIsintheField(Bonheurestdanslepré,Le)",Comedy,1995
116,AnneFrankRemembered,Documentary,1995
117,"YoungPoisoner'sHandbook,The",Crime,1995
118,IfLucyFell,Comedy,1996
119,"StealBig,StealLittle",Comedy,1995
120,RacetheSun,Adventure,1996
121,"BoysofSt.Vincent,The",Drama,1992
122,Boomerang,Comedy,1992
123,ChungkingExpress(ChungHingsamlam),Drama,1994
124,"StarMaker,The(Uomodellestelle,L')",Drama,1995
125,FlirtingWithDisaster,Comedy,1996
126,"NeverEndingStoryIII,The",Adventure,1994
127,"SilencesofthePalace,The(SaimtelQusur)",Drama,1994
128,Jupiter'sWife,Documentary,1994
129,PieintheSky,Comedy,1996
130,Angela,Drama,1995
131,FrankieStarlight,Drama,1995
132,Jade,Thriller,1995
133,NuebaYol,Comedy,1995
134,SonicOutlaws,Documentary,1995
135,DownPeriscope,Comedy,1996
136,FromtheJournalsofJeanSeberg,Documentary,1995
137,ManoftheYear,Documentary,1995
138,"NeonBible,The",Drama,1995
139,Target,Action,1995
140,UpCloseandPersonal,Drama,1996
141,"Birdcage,The",Comedy,1996
142,Shadows(Cienie),Drama,1988
143,Gospa,Drama,1995
144,"BrothersMcMullen,The",Comedy,1995
145,BadBoys,Action,1995
146,"AmazingPandaAdventure,The",Adventure,1995
147,"BasketballDiaries,The",Drama,1995
148,"AwfullyBigAdventure,An",Drama,1995
149,Amateur,Crime,1994
150,Apollo13,Adventure,1995
151,RobRoy,Action,1995
152,"Addiction,The",Drama,1995
153,BatmanForever,Action,1995
154,BeautyoftheDay(Belledejour),Drama,1967
155,BeyondRangoon,Adventure,1995
